,input,target,clipped_input,predicted_ed,predicted_at
373,We do n't usually study these subject very deaply . ,We do n't usually study these subjects very deeply . ,We do n't usually study these subject very deaply,We do the usually study these subject very deeply,We do the usually study these subject . well
374,"I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly not an evidence for their intelligence .","I think learning facts is only evidence of whether students can work hard and if they are able to retain every detail of information they are taught , but it 's definitely not evidence of their intelligence .","I think to learn facts is only an evidence if the students can work hard and if they are able to keep every detailled information as tought , but it 's definitly","I think to learn facts is only an evidence if the students can work hard and if they are able to keep every every , as , , but it the","I think to learn facts is only an evidence if the students can work hard and if they they able to keep every every information as that , but it the"
375,This situation might result in elderly being neglected by their children due to the excess pressure caused by the large amount of expenditures .,This situation might result in the elderly being neglected by their children due to the excessive pressure caused by a large amount of expenditure .,This situation might result in elderly being neglected by their children due to the excess pressure caused by the large amount of expenditures,This situation might result in elderly is to by by their due to the the pressure caused caused caused of of of of,This situation might result in elderly being being by their their due to the the pressure caused by the large amount amount amount
376,"The invention of personal computers in IBM 's skunkworks completely changed the way in which the world operates , and made IBM the forerunner in computers , but the upgrading of the computers with ordinary technical knowledge did not really lead people onto a new path , instead it only results in the proliferation of many small computer-based companies .","The invention of personal computers in IBM 's skunkworks completely changed the way in which the world operates , and made IBM the forerunner in computers , but the upgrading of the computers with ordinary technical knowledge did not really lead people onto a new path , instead it only resulted in the proliferation of many small computer-based companies .","The invention of personal computers in IBM 's skunkworks completely changed the way in which the world operates , and made IBM the forerunner in computers , but the upgrading of the","The invention of personal computers in Hokkaido 's 's completely changed the way in which the world the , and and and the the the the , but the the of","The invention of personal computers in for the the completely changed the way in which the world the , and made for the the the computers , but the the the"
377,"Secondly , young generation also plays an important part in the future of a country itself , but many of first-world countries have low birth rate and keep decreasing .","Secondly , the younger generation also plays an important part in the future of a country by determining its future birth rates .","Secondly , young generation also plays an important part in the future of a country itself , but many of first-world countries have low birth rate and keep decreasing","Secondly , young generation also plays an important part in the future of a country itself , but many of of countries have low has rate rate and .","Secondly , young generation also plays an important part in the future of a country itself , , many of of countries many low . rate has and ."
378,"Being a skunkwork project , Linux sure has the advantage of price .","Being a skunkwork project , Linux has the advantage of price .","Being a skunkwork project , Linux sure has the advantage of price","Being a a project , , sure has the advantage of .","Being a a project , Linux not has the advantage of of"
379,"This could help them to develop their thinking power , managing power , and good strategy making power to achieve their goals . ","This could help them develop good thinking , managing , and strategy making power to achieve their goals . ","This could help them to develop their thinking power , managing power , and good strategy making power to achieve their goals","This could help them to develop their thinking power , , power , and good a making power power to their goals goals","This could help them to develop their thinking power , managing power , and and strategy a power to to their goals goals"
380,"If the government reduce public spending on elders , elders whose living cost depends on the public spending have to rely on their children support .","If the government reduces public spending on elders , those whose living cost depends on t public spending have to rely on their children for support .","If the government reduce public spending on elders , elders whose living cost depends on the public spending have to rely on their children support","If the government reduce public spending on the , , parents who had depends depends the the of have to rely on on their support their","If the government reduce public spending on employees , employees , living costs depends depends the public spending the to rely on their their support support"
381,"Furthermore , MSRs are up to 300 times more fuel-efficient compared to the LWRs .","Furthermore , MSRs are up to 300 times more fuel-efficient compared to LWRs .","Furthermore , MSRs are up to 300 times more fuel-efficient compared to the LWRs","Furthermore , , are up to to times more everyday compared to","Furthermore , , are up to the times more"
382,""" ( United Nations , 1948 ) .",""" ( , 1948 ) .",""" ( United Nations , 1948 )",MY United Nations .,The construction United Nations .
383,"For example , in 2 0 0 6 world cup form Germany , as many conch wanna term work . ","For example , in the 2 0 0 6 World Cup in Germany , many coaches wanted team work . ","For example , in 2 0 0 6 world cup form Germany , as many conch wanna term work","For example , in Moscow Moscow , , world cup form Germany , as many . . . .","For example , in the construction construction construction world of form Germany , as many . to . work"
384,Humans ' activities on Earth have always been depleting Earth 's valuable yet limited amount of natural resources and at the same time damaging Earth 's environment .,"Human activities on Earth have depleted Earth 's valuable yet limited natural resources , thus damaging the Earth 's environment .",Humans ' activities on Earth have always been depleting Earth 's valuable yet limited amount of natural resources and at the same time damaging Earth 's environment,"Humans ' activities on Earth have always been for Earth 's , , limited limited of natural resources resources and the same same the the the",Human ' activities on Earth has always been the Earth 's valuable yet limited amount of natural resources and and the same time . Earth . . .
385,"However , even though the one-time economic input is high , the VHTR has low operating and maintenance cost ( Gen IV International Forum , 2007 ) .","However , even though the one-time capital input is high , the VHTR has low operating and maintenance cost ( Gen IV International Forum , 2007 ) .","However , even though the one-time economic input is high , the VHTR has low operating and maintenance cost ( Gen IV International Forum , 2007 )","However , even though the the economic behavior is high , the the has low costs and maintenance cost cost is , International International , International","However , even though the the economic input is high , the the has low operating and maintenance cost effect . . ."
386,Is it really possible ?,Is it really possible ?,Is it really possible ?,Is it really . ?,Is it really possible ?
387,"In conclusion , in spite of the various inherent differences of conventionally generated technologies and innovations from skunkworks , such as revolutionary or conservative , both share various similarities such as providing possible but not definite solutions to our problems .","In conclusion , in spite of the various inherent differences of conventionally generated technologies and innovations from skunkworks , revolutionary or conservative , both share various similarities such as providing possible but not definite solutions to our problems .","In conclusion , in spite of the various inherent differences of conventionally generated technologies and innovations from skunkworks , such as revolutionary or conservative , both share various similarities such as providing","In conclusion , in spite of the various people differences of of caused technologies and and from from , such as phenomenon or conservative , both share various various luxury as","In conclusion , in spite of the various cultural differences of of the technologies and generations generation of , such as as or conservative , both share various various kinds as"
388,but if they needs money for these perpose they can do a extra hardwork . ,"If they need money for this purpose , they can do extra hard work . ",but if they needs money for these perpose they can do a extra hardwork,but if they needs money for these purpose they can do a extra extra,but if they need money for these purpose they can do a extra happily
389,"I claim that they are not yet able to feel the same feeling of satisfaction that an old man , seing his grandchilds playing , does have .","I claim that they are not yet able to feel the same feeling of satisfaction that an older man , seeing his grandchildren play , is able to .","I claim that they are not yet able to feel the same feeling of satisfaction that an old man , seing his grandchilds playing , does have","I claim that they are not yet able to feel the same feeling of imagine that that old man man , his his his , ,",I claim that they are not yet able to feel the same feeling the satisfaction that an old man man the the
390,"Technology in "" Skunk works "" is like a double-side sword , which not only can become a great success but also can be a super failure in future .","Technology in "" Skunk works "" is like a double-side sword , which not only can become a great success but also can be a super failure in the future .","Technology in "" Skunk works "" is like a double-side sword , which not only can become a great success but also can be a super failure in future","Technology in in Melbourne work , is like a a sword , , not only can become a great successful but also also can be . .","Technology in the construction works construction is like a vicious multi , which not only can become a a success , also can . . ."
391,"Although it has always been the case that an appropriate amount of public spending is set aside for the aged , however , it is more of utmost importance to instill a sense of self-reliance in them , which can be effected through educating about saving for retirement throughout the period in the workforce .","Although it has always been the case that an appropriate amount of public spending is set aside for the aged , it is of the utmost importance to instill a sense of self-reliance in them , which can be effective through education about saving for retirement throughout their working life .","Although it has always been the case that an appropriate amount of public spending is set aside for the aged , however , it is more of utmost importance to instill a","Although it has always been the case that an appropriate amount of public spending is set set for the aged , however , it is more of way importance to values","Although it has always been the case that an appropriate amount of public spending is set set for the aged , however , it is more of the importance the"
392,"If not for the elderly members of Singapore who contributed in helping to mould Singapore into a highly developed country , today many will not be enjoying the fruits of the labor .","If not for the elderly members of Singapore who contributed in helping to mould Singapore into a highly developed country today , many will not be enjoying the fruits of the labor .","If not for the elderly members of Singapore who contributed in helping to mould Singapore into a highly developed country , today many will not be enjoying the fruits of the labor","If not for the elderly members of Singapore who who in helping to a Singapore into a a developed country country , , will will be enjoying enjoy . of of","If not for the elderly members of Singapore who to in helping to a Singapore Singapore a highly developed country , , many will not be to the . of the"
393,Furthermore education also helps the aged to acquire new skills which enable them to work even at an old age .,"Furthermore , education also helps the aged to acquire new skills which enable them to work even at old age .",Furthermore education also helps the aged to acquire new skills which enable them to work even at an old age,"Furthermore education also helps the the to to new skills , enable to to to even at in . .",Furthermore education also helps to aged to acquire new skills which enables them to work even at an old age
394,This eliminates the need for an elderly to climb the stairs in order to get to the level that the lift has no access to .,This eliminates the need for an elderly person to climb the stairs in order to get to the level that the lift does not stop at .,This eliminates the need for an elderly to climb the stairs in order to get to the level that the lift has no access to,"This , the need for an elderly to climb the stairs the order to get to the level that the . no .",This was the need for an elderly to climb the stairs in order to get to the level that the .
395,"Government has started to put emphasis on the re- training of the older workers to work more efficiently and productively ( Chan , Angelique 2002 ) .","The government has started to put emphasis on the re- training of the older workers to work more efficiently and productively ( Chan , Angelique 2002 ) .","Government has started to put emphasis on the re- training of the older workers to work more efficiently and productively ( Chan , Angelique 2002 )",The has started to put the on the the training of the older workers to work more efficiently and and . .,"The has started to put emphasis on the the training of the older workers to work more efficiently and and and . , ."
396,"Firstly , the picture phone aims to allow both users on the phone to feel closer to one another , as they can now see each other over the phone .","Firstly , the picture phone aimed to allow both users on the phone to feel closer to one another , as they could now see each other over the phone .","Firstly , the picture phone aims to allow both users on the phone to feel closer to one another , as they can now see each other over the phone","Firstly , the picture phone goal to allow both users on the phone to feel to to one another , as they can now can each other other the","Firstly , the picture phone goals to allow both users on the phone to feel closer to one another , as they can now see each other over over ."
397,"As such , patient 's medical information may leak out , which in turn may result in social discrimination and loss of health care coverage .","As such , patients ' medical information may leak out , which in turn may result in social discrimination against and loss of health care coverage for for these patients .","As such , patient 's medical information may leak out , which in turn may result in social discrimination and loss of health care coverage","As such , patient 's medical information information a out , which in turn may result the social discrimination social and of health of","As such , patient the medical information may a out , which in turn may result in social these and and of health of of"
398,"Even though it does not guarantee a 100 percent accuracy ( Breast Cancer Organization ) , it is still used in fields like forensic investigations whereby a person 's identity could be determined through the test .","Even though it does not guarantee a 100 percent accuracy ( ) , it is still used in fields like forensic investigations whereby a person 's identity could be determined through the test .","Even though it does not guarantee a 100 percent accuracy ( Breast Cancer Organization ) , it is still used in fields like forensic investigations whereby a person 's identity could be","Even though it does not guarantee a , percent of , , contains accommodation incident , it is still used in fields like soldiers struggling . . person . .","Even though it does not guarantee a a percent of construction is has discipline Nations , it is still used in fields , , that fact a person the identity ."
399,"Hence , this has driven Tetsuya Mizoguchi to develop a portable computer , despite being rejected by his company , Toshiba ( Rogers , 2003 ) .","Hence , these drove Tetsuya Mizoguchi to develop a portable computer , although the idea was rejected by his company , Toshiba ( Rogers , 2003 ) .","Hence , this has driven Tetsuya Mizoguchi to develop a portable computer , despite being rejected by his company , Toshiba ( Rogers , 2003 )","Hence , this has driven a for to develop a portable computer , despite being rejected by by by , , as , , , acid , .","Hence , this has driven a the to develop a portable computer , despite being rejected by by company company company company . , , , ."
400,The use of such model then leads to serious false predictions of forces and hence undersign in the temporary work which resulted in the fatal catastrophe .,The use of such model then led to serious false predictions of forces which resulted in the fatal catastrophe .,The use of such model then leads to serious false predictions of forces and hence undersign in the temporary work which resulted in the fatal catastrophe,"The use of such model , leads to serious false , of forces and from TO in the temporary work which the in the .","The use of such model , leads to serious false in of forces and , , in the temporary work which that in the fatal ."
401,"A three year of "" The Great Leap Forward "" took place .","A three year period of "" The Great Leap Forward "" took place .","A three year of "" The Great Leap Forward "" took place","A three year of , The Great waiting IT IT . place",A three year of of The Great was MV Service . .
402,"Last but not least , users save time in looking for their friends and simply get things done in a second as long as the information on the school and class is obtained .","Last but not least , users save time in looking for their friends and can simply get things done in a second as long as the information on the school and class is obtained .","Last but not least , users save time in looking for their friends and simply get things done in a second as long as the information on the school and class is","Last but not least , users save time in looking for their friends and and and and done in a the as long as as the on the the and class","Last but not least , users , time in looking for their friends and simply get things done in a second as long as the information on the school and class"
403,"With the overly successful "" Stop at Two "" campaign to curb the overpopulation in 1960s , Singapore has since faced an ageing population as birth rate dipped tremendously .","With the overly successful "" Stop at Two "" campaign to curb the overpopulation in the 1960 's , Singapore has since faced an ageing population as birth rate dipped tremendously .","With the overly successful "" Stop at Two "" campaign to curb the overpopulation in 1960s , Singapore has since faced an ageing population as birth rate dipped tremendously","With the exercise successful , Stop at two recent campaign to , the the in the , Singapore has since faced an population","With the demanding successful traffic stop at two the campaign to continuous the , in the , Singapore has since faced the"
404,I guduate in university .,I graduated from a university .,I guduate in university,I am in university university,I am in university
405,"So i asked my student , how did he think about my lesson , and tried to find out where the proublem it is .","So I asked my student what he thought about my lesson , and tried to find out where the problem is .","So i asked my student , how did he think about my lesson , and tried to find out where the proublem it is","So I asked my student , how did he think about my lesson , and tried to find out where the the .","So I asked my student , how did he think about my lesson , and tried to find out the the the"
406,It will help on country 's economic growth .,This will help the country 's economic growth .,It will help on country 's economic growth,It will help on country the economy growth,It will help on country 's economic growth growth
407,"From the birth to the death , man have experienced huge change continuously which is called aging process and as a result , our society has became older and older .","From birth to the death , man has experienced huge change continuously which is called the aging process and as a result , our society has became older and older .","From the birth to the death , man have experienced huge change continuously which is called aging process and as a result , our society has became older and older","From the birth to the death , man have experienced huge a to which is called is of and and a a , our society has has older and older older","From the birth to the death , man have experienced huge change the which is called aging process and as a result , our society has became . and ."
408,"Here is an example of a real major industrial accident - The world 's deadliest high-speed train accident , which occurred on 3rd June 1998 , in Eschede , Germany .","Here is an example of a real major industrial accident . The world 's deadliest high-speed train accident , which occurred on 3rd June 1998 , in Eschede , Germany .","Here is an example of a real major industrial accident - The world 's deadliest high-speed train accident , which occurred on 3rd June 1998 , in Eschede , Germany","Here is an example of a real major the accident an the world 's to to train the , which which which which th th , in . , .","Here is an example of a real major industrial accident industrial The world 's to the the accident , which which which which on from , , the , , ."
409,"Today the demands of users are still shaping bar code , expanding it to more application fields like libraries and post industry .","Today , the demands of users are still shaping the bar code , expanding it to more application fields like libraries and the postal industry .","Today the demands of users are still shaping bar code , expanding it to more application fields like libraries and post industry","Today the demands of users are still the bar of , and and to more application the , the and post .","Today the demands of users are still the the code , expanding it to more application fields , libraries and post industry"
410,Do we consider her as a smart girl ? ,Do we consider her a smart girl ? ,Do we consider her as a smart girl ?,Do we consider her as a smart girl girl,Do we consider her as a smart girl ?
411,"For example , if you visit the ruins in Rome , without a tour guide you do n't realize the importance and the history behind these ruins .","For example , if you visit the ruins in Rome without a tour guide you do n't realize the importance and the history behind these ruins .","For example , if you visit the ruins in Rome , without a tour guide you do n't realize the importance and the history behind these ruins","For example , if you visit the suicide in Rome , without a tour guide you do the realize the importance and the history behind these .","For example , if you visit the ruins in Rome , without a tour guide you do do realize the importance and the history behind these ."
412,"Now the Iphone 3GS has supported 3G network , video call , 802.11n wireless standard , and up to 32GB internal storage .","Now the Iphone 3GS supports 3G network , video call , 802.11n wireless standard , and up to 32GB internal storage .","Now the Iphone 3GS has supported 3G network , video call , 802. 11n wireless standard , and up to 32GB internal storage","Now the the agent has supported the network , video call , , , wireless standard , and up to","Now the the network has supported supported network , video call , , , wireless standard , , and to a . storage storage"
413,This is worsened by the fact many older workers have relatively lower education levels .,This is worsened by the fact that older workers have relatively lower education levels .,This is worsened by the fact many older workers have relatively lower education levels,This is this by the fact many older workers have relatively lower education level level level,This is is by the fact many older workers have relatively lower high levels level level
414,"However , the states fail to realize that people 's value towards family is changing today .","However , the states fail to realize that people 's values towards family are changing today .","However , the states fail to realize that people 's value towards family is changing today","However , the states fail to realize that people 's value of of is changing","However , the states fail to realize that people the the towards . is changing"
415,It 's modren life now . ,It 's modern life now . ,It 's modren life now,It 's modern life . .,It 's the life now now
416,"In old times , the familes tend to live in the same place for ages . ","In olden times , families tended to live in the same place for many years . ","In old times , the familes tend to live in the same place for ages","In old times , the family tend to live in the same place for .","In old times , the family tend to live in the same . ages"
417,"Hence , we only need one nuclear accident to cause damage of what a coal plant might have caused in more than 50 years .","Hence , we only need one nuclear accident to cause the kind of damage a coal plant would take more than 50 years to cause .","Hence , we only need one nuclear accident to cause damage of what a coal plant might have caused in more than 50 years","Hence , we only need one nuclear accident to of damage of what a a the might have caused caused of than . . .","Hence , we only need one nuclear accident to cause damage of of of a plant plant had caused caused more than than than"
418,"For the past few centuries , most of our electricity was generated from coal , fuel or oil plants .","For the past few centuries , most of our electricity has been generated from coal , fuel or oil refineries .","For the past few centuries , most of our electricity was generated from coal , fuel or oil plants","For the past few few , most of our electricity was caused from such , and or .","For the past few a , most of our electricity was generated from from , fuel or oil"
419,These improvements can be seen in various context and we will be looking at the benefits it has provided to the elderly .,These improvements can be seen in various contexts and we will be looking at the benefits they have provided to the elderly .,These improvements can be seen in various context and we will be looking at the benefits it has provided to the elderly,These pronounce can be seen in various context and we will be looking at the benefits it has provided to the elderly,These improvements can be seen in various context and we will be looking at the benefits it has provided to the elderly
420,"Moreover , creativity stems from overall analysis on what we have now , what we need to have in future and most importantly what the differences between them are .","Moreover , creativity stems from the analysis of what we have now , what we need to have in the future and most importantly what the differences between them are .","Moreover , creativity stems from overall analysis on what we have now , what we need to have in future and most importantly what the differences between them are","Moreover , , of from of of analysis of , the , , , we we to to to to and the most people people differences between them are are","Moreover , creativity , from the the the the , , we , , we we need have have the in the most most most differences differences between between between"
421,"The second one is to specialize in one specific subject , one has his own tast in studing , so let us talk about this subject ","The second one is to specialize in one specific subject ; one has his own test in studying , so let us talk about this subject . ","The second one is to specialize in one specific subject , one has his own tast in studing , so let us talk about this subject","The second one is to specialize in one specific subject , one has his own is in studying , so let us talk about about .","The second one is to specialize in one specific subject , one has his own , in studying , so let us talk about this ."
422,"However , as a matter of fact , any medical procedures will carry a certain factor of risks .","However , as a matter of fact , any medical procedures will carry a certain number of risks .","However , as a matter of fact , any medical procedures will carry a certain factor of risks","However , as a matter of fact , any medical figure will carry a certain factor of .","However , as a matter of fact , any medical reasons will carry a certain factor of risk"
423,"However , besides focusing on the improvement of a new design , one should also pay attention to the possible tradeoffs .","However , besides focusing on the improvements offered by a new design , one should also pay attention to the possible tradeoffs .","However , besides focusing on the improvement of a new design , one should also pay attention to the possible tradeoffs","However , besides focusing on the improvement of a new design , one should also pay attention to","However , besides focusing on the improvement of a new design , one should also pay attention to the"
424,At the same time health problems also created great needs for advanced medical technologies and facilities .,"At the same time , health problems also created great needs for advanced medical technologies and facilities .",At the same time health problems also created great needs for advanced medical technologies and facilities,At the same time health problems also created great needs for advanced medical technologies technologies facilities,At the same time health problems also created great needs to to medical technologies and facilities facilities .
425,"Its fashioned design has brought it many customers , especially the young people .","Its fashionable design has brought it many customers , especially the young people .","Its fashioned design has brought it many customers , especially the young people","Its fashioned design has brought it many customers , especially the young people people","Its fashioned design has brought it many customers , especially the young people"
426,"For example like pill vitamin , iron , calcium , etc .","For example like vitamin , iron , calcium , etc .","For example like pill vitamin , iron , calcium , etc","For example like the like , , , , , etc etc","For example like some vitamins , iron , some , ,"
427,"Else twenty years down the lane every major city would end up being a pile of metal junkyard , with no place to move around .","Twenty years down the line , every major city would end up being a pile of metal junkyard , with no place to move around .","Else twenty years down the lane every major city would end up being a pile of metal junkyard , with no place to move around","Also twenty years down the lane every major city would end up being a pile of metal , , , no no to to around to","Besides twenty years down the lane every major city would end up being a pile of metal of , , no place to move around around"
428,The money can also be used to pay for medical cost incurred related to health .,The money can also be used to pay for medical cost incurred .,The money can also be used to pay for medical cost incurred related to health,The money can also be used to pay for medical cost of related to health,The money can also be used to pay for medical cost drug related to health
429,"On the other hand , if you specialize in one specific subject such as physics you will never help him .","On the other hand , if you specialize in one specific subject such as physics you will never help him .","On the other hand , if you specialize in one specific subject such as physics you will never help him","On the other hand , if you specialize in one specific subject such as physics . will never .","On the other hand , if you specialize in one specific subject such as physics you will never help him"
430,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved . ","If every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved . ","If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved","If every people thinks to learn and understand lots of of subjects , any person will do not do it and as a a of this problem","If every people thinks to learn and understand lots of of subjects , any person , do not do not not as a result of this . ."
431,It is often heard that some elderly abuses the pension by gambling or turn to other vices since the money is free .,It is often heard that some elderly abuse the pension by gambling or turn to other vices since the money is free .,It is often heard that some elderly abuses the pension by gambling or turn to other vices since the money is free,"It is often heard that some elderly , the the by gambling or turn to other the since the money is free","It is often heard that some elderly and the pension by gambling or , to other or the the money"
432,When these people create their new ideas others often look very strange on them .,When these people create new ideas others often look very strange at them .,When these people create their new ideas others often look very strange on them,When these people create their new ideas others often look very strange strange them,When these people create their new ideas others often look very strange something them them
433,"But recently , vast amount of supporters surfaced , mainly due to the urgent need in reducing carbon dioxide emissions .","But recently , vast amounts of supporters have surfaced , mainly due to the urgent need in reducing carbon dioxide emissions .","But recently , vast amount of supporters surfaced , mainly due to the urgent need in reducing carbon dioxide emissions","But recently , the of of supporters people , , to to to to to to to carbon dioxide dioxide dioxide carbon","But recently , vast amount of supporters , , mainly due to the urgent need in in . dioxide dioxide ."
434,Thoes advertisements make products seem much better than they really are . ,Those advertisements make products seem a lot better than they really are . ,Thoes advertisements make products seem much better than they really are,The advertisements make products seem much better than they really are,The advertisements make products seem much better than they really are are
435,An inadequate industrial design may lead catastrophic consequences .,An inadequate industrial design may lead to catastrophic consequences,An inadequate industrial design may lead catastrophic consequences,An is industrial design may lead the the area,An Reasons industrial design may lead suffering exist
436,The most considerable strategy is that stressing filial obligation and increasing the willingness of tomorrow 's grown children to support their own elderly parents through informal and family channels .,The most considerable strategy is that stressing filial obligation and increasing the willingness of tomorrow 's grown children to support their own elderly parents through informal and family channelno full-stop,The most considerable strategy is that stressing filial obligation and increasing the willingness of tomorrow 's grown children to support their own elderly parents through informal and family channels,"The most considerable strategy is that of are of and and the , of my 's 's the language they their their the parents parents in and and and .","The most considerable strategy is that the knowing to and increasing the and the and the , , , support support support their their their their own their and and ."
437,"In conclusion , the nuclear power is the solution for the current energy crisis .","In conclusion , nuclear power is the solution for the current energy crisis .","In conclusion , the nuclear power is the solution for the current energy crisis","In conclusion , the nuclear power is the solution for the current . .","In conclusion , the nuclear power is the solution for the current . crisis"
438,"Last month , I needed to buy digtal-camera .","Last month , I needed to buy a digital camera .","Last month , I needed to buy digtal-camera","Last month , I needed to buy to","Last month , I needed to buy a"
439,"For instance , they can help to take care of their aged parent , be a volunteer to contribute to society that is gradually aging and works with the government .","For instance , they can help to take care of their aged parents ,or be a volunteer to contribute to a society that is gradually aging .","For instance , they can help to take care of their aged parent , be a volunteer to contribute to society that is gradually aging and works with the government","For instance , they can help to take care of their aged parents , be a volunteer to contribute to society that is gradually is and and and","For instance , they can help to take care of their aged parent , be a volunteer to contribute to society that is gradually aging and and with the the"
440,The factories are increasing sulfur dioxide to the air every year .,The factories are increasing the amount of sulfur dioxide in the air every year .,The factories are increasing sulfur dioxide to the air every year,The performed are increasing a is to the air !,"The factories are increasing has dioxide , of the the every"
441,"Other than that , some of the public spending should be allocated for education as a purpose to prepare the younger generations and for military to improve the military defense .","Other than that , some of the public spending should be allocated for education purposes and military defense .","Other than that , some of the public spending should be allocated for education as a purpose to prepare the younger generations and for military to improve the military defense","Other than that , some of the public spending should be allocated for education as a purpose to prepare the younger generations and for military to improve the military .","Other than that , some of the public spending should be allocated for education as a purpose to prepare the younger generations and for military to to the military the"
442,"Facebook was started off as a small networking site for college students , which slowly extend to be the most popular networking site globally .","Facebook was started off as a small networking site for college students , which slowly extended to be the most popular global networking site","Facebook was started off as a small networking site for college students , which slowly extend to be the most popular networking site globally","Facebook was started off as a small networking site for college students , which slowly extend to be the most popular . . .","Facebook was started off as a small networking site for college students , which slowly extend to be the most popular networking site ."
443,Hence the sales of the laptops increased substantially and the companies make profits .,Hence the sales of the laptops increased substantially and the companies made profits .,Hence the sales of the laptops increased substantially and the companies make profits,Hence the sales of the trip increased mile and the companies make profits,Hence the sales of the education increased the and the companies make profits profits
444,Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages in humanity .,Maybe they have some disadvantages in humanity,Maybe they have some disadvantages in them,Maybe they have some disadvantages in a
445,"This had shown that the engineering design process is essential in solving problems and it ensures that the problem is thoroughly looked into and ensure that the engineers are generating ideas that target the main problem , the depletion and harmful fuel .","This has shown that the engineering design process is essential in solving problems , and it ensures that the problem is thoroughly looked into and that the engineers are generating ideas that address the main problem , the depletion of fuels and the emission of harmful gages .",This had shown that the engineering design process is essential in solving problems and it ensures that the problem is thoroughly looked into and ensure that the engineers are generating ideas that,This had shown that the engineering design process is essential in solving problems and it and that the problem is very was into and and that the engineers are a ideas,This had shown that the engineering design process is essential in solving problems and it and that the the is very that the and ensure that the the are . .
446,"To deal with these global aging problems , governments around the world have to reserve a large proportion of the already limited public spending for elderly .","To deal with these global aging problems , governments have to reserve a large proportion of the already limited public spending for the elderly .","To deal with these global aging problems , governments around the world have to reserve a large proportion of the already limited public spending for elderly","To deal with these global aging problems , governments around the world have to reserve a large proportion of the already limited public spending for for","To deal with these global aging problems , governments around the world have to to a large proportion of of already limited a time time the"
447,First is that the funding for the development of SCWR can be channeled to more pressing issues like eliminating poverty and food shortage .,The first consideration is that the funding for the development of the SCWR should be channeled to more pressing needs like eliminating poverty and food shortage .,First is that the funding for the development of SCWR can be channeled to more pressing issues like eliminating poverty and food shortage,"First is that the Mandarin for the development of , can be a to more tool issues like of poverty and food",First is that the conventional for the development of of can be be to more more issues like poverty poverty
448,"Wind energy requires a vast open area to place the windmills , Singapore does not have such space to spare .","Wind energy requires a vast open area to place the windmills , but Singapore does not have such space to spare .","Wind energy requires a vast open area to place the windmills , Singapore does not have such space to spare","The energy requires a the open area to place the to , , , not not not to to to","The energy requires a vast the area to place the because , , , not not such space to to ."
449,"Consequently , more research and development funding should be subjected to VHTR .","Consequently , more research and development funding should be given to VHTR .","Consequently , more research and development funding should be subjected to VHTR","Consequently , more research and development education should be to to","Consequently , more research research development individuals should be to to to"
450,"However , using technologies , engineers create diverse tools which can help the old in their daily life .","However , engineers can create diverse tools using technologies to help the old in their daily lives .","However , using technologies , engineers create diverse tools which can help the old in their daily life","However , using technologies , engineers create variety tools which can help help , in their daily life life","However , using technologies , engineers create diverse tools which can help the old in their daily life life"
451,"Before wasent like that , we was all tha times under the voluntad of the man , and depending economyc from him . ","Before it was n't like that , we were under the voluntad of the man all tha times , and depending economyc from him . ","Before wasent like that , we was all tha times under the voluntad of the man , and depending economyc from him","Before , like that , we was all the times under the the of the man","Before the like that , we was all the times under the the of the man , and"
